"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Jul 21 13:11:58 IST 2023","Fri Jul 21 13:12:30 IST 2023","32045","chromium","","Home","","","Open HomePage and verify title",""
"passed","Fri Jul 21 13:23:54 IST 2023","Fri Jul 21 13:24:29 IST 2023","34290","chromium","","myOwn","","","Verify search icon visibilty using xpath",""
"passed","Fri Jul 21 13:23:53 IST 2023","Fri Jul 21 13:24:19 IST 2023","25495","chromium","","myOwn","","","Verify text in page using text selector",""
"passed","Fri Jul 21 13:24:19 IST 2023","Fri Jul 21 13:25:07 IST 2023","48521","chromium","","myOwn","","","Enter input into a textbox",""
"passed","Fri Jul 21 13:25:07 IST 2023","Fri Jul 21 13:25:23 IST 2023","15786","chromium","","myOwn > Upload a file","","","should upload a test file with wait",""
"passed","Fri Jul 21 13:11:58 IST 2023","Fri Jul 21 13:12:25 IST 2023","27167","chromium","","Home","","","Verify text using text selector",""
"failed","Fri Jul 21 13:12:25 IST 2023","Fri Jul 21 13:12:56 IST 2023","31164","chromium","","Home","","","Fill contact form and verify success message",""
"passed","Fri Jul 21 13:11:58 IST 2023","Fri Jul 21 13:12:29 IST 2023","30633","chromium","","Home","","","Click get started button using css selector",""
"passed","Fri Jul 21 13:23:53 IST 2023","Fri Jul 21 13:25:43 IST 2023","109710","chromium","","myOwn","","","Verify text in page using text and css selector",""
"passed","Thu Jul 20 15:38:50 IST 2023","Thu Jul 20 15:39:05 IST 2023","14922","chromium","","Contact","","","Fill contact form and verify success message",""
"passed","Fri Jul 21 13:24:29 IST 2023","Fri Jul 21 13:25:25 IST 2023","56026","chromium","","myOwn","","","Enter text in textbook",""
"broken","Fri Jul 21 13:11:59 IST 2023","Fri Jul 21 13:12:40 IST 2023","40871","chromium","","Home","","","Verify home link using text and css selector",""
"passed","Fri Jul 21 13:24:47 IST 2023","Fri Jul 21 13:25:34 IST 2023","46758","chromium","","myOwn > Upload a file","","","should upload a test file",""
"skipped","Fri Jul 21 13:11:53 IST 2023","Fri Jul 21 13:11:53 IST 2023","7","chromium","","Home","","","Open About and verify Title",""
"passed","Fri Jul 21 13:23:53 IST 2023","Fri Jul 21 13:24:47 IST 2023","53477","chromium","","myOwn","","","Verify text in other page using text and css selector",""
